artist,publish_date,track
Ricky Nelson,1958-08-09,Poor Little Fool
Domenico Modugno,1958-08-09,Nel Blu Dipinto Di Blu (Volaré)
Perez Prado And His Orchestra,1958-08-09,Patricia
Bobby Darin,1958-08-09,Splish Splash
Kalin Twins,1958-08-09,When
Jack Scott,1958-08-09,My True Love
Elvis Presley With The Jordanaires,1958-08-09,Hard Headed Woman
Duane Eddy His Twangy Guitar And The Rebels,1958-08-09,Rebel-'rouser
Jimmy Clanton And His Rockets,1958-08-09,Just A Dream
The Johnny Otis Show,1958-08-09,Willie And The Hand Jive
The Coasters,1958-08-09,Yakety Yak
Pat Boone,1958-08-09,If Dreams Came True
Peggy Lee,1958-08-09,Fever
The Elegants,1958-08-09,Little Star
Frankie Avalon,1958-08-09,Ginger Bread
Doris Day,1958-08-09,Everybody Loves A Lover
The Danleers,1958-08-09,One Summer Night
Poni-Tails,1958-08-09,Born Too Late
Patti Page,1958-08-09,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up)
Jody Reynolds,1958-08-09,Endless Sleep
The Olympics,1958-08-09,Western Movies
Johnny Cash And The Tennessee Two,1958-08-09,Guess Things Happen That Way
Jerry Butler and The Impressions,1958-08-09,For Your Precious Love
The Rinky-Dinks,1958-08-09,Early In The Morning
Buddy Knox with the Rhythm Orchids,1958-08-09,Somebody Touched Me
Jimmie Rodgers,1958-08-09,Are You Really Mine
Bobby Freeman,1958-08-09,Do You Want To Dance
Johnny Mathis,1958-08-09,A Certain Smile
The Four Lads,1958-08-09,Enchanted Island
Perry Como,1958-08-09,Moon Talk
Chuck Willis,1958-08-09,What Am I Living For
The Crickets,1958-08-09,Think It Over
Bobby Day,1958-08-09,Rock-in Robin
The Everly Brothers,1958-08-09,Bird Dog
Connie Francis,1958-08-09,Stupid Cupid
Don Gibson,1958-08-09,Blue Blue Day
Dean Martin,1958-08-09,Volare (Nel Blu Dipinto Di Blu)
Big Bopper,1958-08-09,Chantilly Lace
Dean Martin,1958-08-09,Angel Baby
Jimmie Rodgers,1958-08-09,Secretly
Robin Luke,1958-08-09,Susie Darlin'
The Everly Brothers,1958-08-09,Devoted To You
Bobby Freeman,1958-08-09,Betty Lou Got A New Pair Of Shoes
Jim Reeves,1958-08-09,Blue Boy
Nat King Cole,1958-08-09,Come Closer To Me (Acercate Mas)
Sheb Wooley,1958-08-09,The Purple People Eater
The Slades,1958-08-09,You Cheated
Clyde McPhatter,1958-08-09,Come What May
Bobby Hendricks,1958-08-09,Itchy Twitchy Feeling
Faron Young,1958-08-09,Alone With You
Eddie Cochran,1958-08-09,Summertime Blues
Bobby Day,1958-08-09,Over And Over
Elvis Presley With The Jordanaires,1958-08-09,Don't Ask Me Why
Tony And Joe,1958-08-09,The Freeze
Jack Scott,1958-08-09,Leroy
Pat Boone,1958-08-09,That's How Much I Love You
The Drifters,1958-08-09,Drip Drop
Gerry Granahan,1958-08-09,"No Chemise, Please"
Dion & The Belmonts,1958-08-09,I Wonder Why
Sam Cooke,1958-08-09,Win Your Love For Me
Bobby Hamilton,1958-08-09,Crazy Eyes For You
Dean Martin,1958-08-09,Return To Me
Eydie Gorme,1958-08-09,You Need Hands
Toni Arden,1958-08-09,Padre
Jerry Lee Lewis And His Pumping Piano,1958-08-09,High School Confidential
Bill Haley And His Comets,1958-08-09,Lean Jean
The Platters,1958-08-09,You're Making A Mistake
Jimmy Bowen with the Rhythm Orchids,1958-08-09,By The Light Of The Silvery Moon
Lee Andrews And The Hearts,1958-08-09,Try The Impossible
Paul Anka,1958-08-09,Midnight
Fats Domino,1958-08-09,Little Mary
Little Anthony And The Imperials,1958-08-09,Tears On My Pillow
The Diamonds,1958-08-09,Kathy-O
The Three G's,1958-08-09,Let's Go Steady For The Summer
Marty Robbins,1958-08-09,Just Married
Jan & Arnie,1958-08-09,Jennie Lee
Royal Teens,1958-08-09,Harvey's Got A Girl Friend
Marty Robbins,1958-08-09,She Was Only Seventeen (He Was One Year More)
The Diamonds,1958-08-09,Happy Years
Tony Bennett,1958-08-09,Young And Warm And Wonderful
Nat King Cole,1958-08-09,Looking Back
Kitty Wells,1958-08-09,Jealousy
Little Willie John,1958-08-09,You're A Sweetheart
Jimmie Rodgers,1958-08-09,The Wizard
The Drifters,1958-08-09,Moonlight Bay
Johnny Cash And The Tennessee Two,1958-08-09,Come In Stranger
Boots Brown And His Blockbusters,1958-08-09,Cerveza
Joe South,1958-08-09,The Purple People Eater Meets The Witch Doctor
The Playmates,1958-08-09,Don't Go Home
The Everly Brothers,1958-08-09,All I Have To Do Is Dream
Billy Vaughn And His Orchestra,1958-08-09,La Paloma
Robert & Johnny,1958-08-09,I Believe In You
The Champs,1958-08-09,Midnighter
The Champs,1958-08-09,Chariot Rock
Jimmy Reed,1958-08-09,Down In Virginia
Tennessee Ernie Ford,1958-08-09,Sunday Barbecue
Eydie Gorme,1958-08-09,Gotta Have Rain
Nat King Cole,1958-08-09,Nothing In The World
The Kirby Stone Four,1958-08-09,"Baubles, Bangles And Beads"
Jerry Wallace,1958-08-16,How The Time Flies
Bobby Helms,1958-08-16,Borrowed Dreams
Oscar McLollie and Jeanette Baker,1958-08-16,Hey Girl - Hey Boy
Roger Williams,1958-08-16,Near You
The Four Preps,1958-08-16,Lazy Summer Night
The Jamies,1958-08-16,"Summertime, Summertime"
The Upbeats,1958-08-16,Just Like In The Movies
DeJohn Sisters,1958-08-16,Straighten Up & Fly Right
Jim Backus & Friend,1958-08-16,Delicious!
Jan & Arnie,1958-08-16,Gas Money
Bill Doggett,1958-08-16,Blip Blop
Betty Madigan,1958-08-16,Dance Everyone Dance
Janice Harper,1958-08-16,Devotion
Chuck Willis,1958-08-16,My Life
The Quin-Tones,1958-08-16,Down The Aisle Of Love
Jody Reynolds,1958-08-16,Fire Of Love
Les Paul And Mary Ford,1958-08-16,Put A Ring On My Finger
Tommy Edwards,1958-08-16,It's All In The Game
The Gaylords,1958-08-16,Ma Ma Ma Marie
Tommy Mara,1958-08-16,Where The Blue Of The Night
The DeCastro Sisters,1958-08-16,Who Are They To Say
Count Basie & His Orch.,1958-08-16,Going To Chicago Blues
Chuck Berry,1958-08-23,Carol
Johnny Cash And The Tennessee Two,1958-08-23,The Ways Of A Woman In Love
George Hamilton IV,1958-08-23,When Will I Know
Ray Price,1958-08-23,City Lights
The Rivieras,1958-08-23,Count Every Star
The Tune Rockers,1958-08-23,The Green Mosquito
Gogi Grant,1958-08-23,Strange Are The Ways Of Love
Warren Storm,1958-08-23,Prisoner's Song
Cozy Cole,1958-08-23,Topsy II
Duane Eddy His Twangy Guitar And The Rebels,1958-08-23,Ramrod
Dion & The Belmonts,1958-08-23,No One Knows
David Seville,1958-08-23,Little Brass Band
Eileen Rodgers,1958-08-23,Treasure Of Your Love
The Tommy Dorsey Orchestra,1958-08-30,Tea For Two Cha Cha
Andy Williams,1958-08-30,"Promise Me, Love"
The McGuire Sisters,1958-08-30,"Volare (Nel Blu, Dipinto Di Blu)"
Dale Wright And The Wright Guys With the Dons,1958-08-30,Please Don't Do It
The Playboys,1958-08-30,Over The Weekend
Tommy Sands And The Raiders,1958-08-30,Blue Ribbon Baby
The Chargers,1958-08-30,Old MacDonald
The Kingsmen,1958-08-30,Week End
Johnnie Ray,1958-08-30,Up Until Now
Dale Hawkins,1958-08-30,La-Do-Dada
Teresa Brewer,1958-08-30,Pickle Up A Doodle
Jill Corey,1958-08-30,Big Daddy
George Hamilton IV,1958-09-06,Your Cheatin' Heart
Jerry Lee Lewis And His Pumping Piano,1958-09-06,I'll Make It All Up To You
Tony Bennett,1958-09-06,Firefly
Ray Price,1958-09-06,Invitation To The Blues
Carl Smith,1958-09-06,Guess I've Been Around Too Long
Ivory Joe Hunter,1958-09-06,Yes I Want You
Robert Mitchum,1958-09-06,The Ballad Of Thunder Road
Doug Franklin With The Bluenotes,1958-09-06,My Lucky Love
Harvey & The Moonglows,1958-09-13,Ten Commandments Of Love
Joni James,1958-09-13,There Goes My Heart
Conway Twitty,1958-09-13,It's Only Make Believe
Gordon MacRae,1958-09-13,The Secret
Little Richard,1958-09-13,Baby Face
Jerry Lee Lewis And His Pumping Piano,1958-09-13,Break-Up
The Applejacks,1958-09-13,Mexican Hat Rock
The Redjacks,1958-09-13,Big Brown Eyes
Earl Grant,1958-09-13,The End
Cozy Cole,1958-09-13,Topsy I
The Platters,1958-09-13,I Wish
Pat Boone,1958-09-20,For My Good Fortune
Patti Page,1958-09-20,Fibbin'
Jane Morgan,1958-09-20,The Day The Rains Came
Pat Boone,1958-09-20,"Gee, But It's Lonely"
Ruth Brown,1958-09-20,This Little Girl's Gone Rockin'
Georgie Young,1958-09-20,"Nine More Miles (The ""Faster-Faster"" Song)"
Ritchie Valens,1958-09-20,"Come On, Let's Go"
The Four Esquires,1958-09-20,Hideaway
The Four Coins,1958-09-20,"Wendy, Wendy"
Ivan,1958-09-20,Real Wild Child
The Teddy Bears,1958-09-20,"To Know Him, Is To Love Him"
Fats Domino,1958-09-20,Young School Girl
Eddie Fontaine,1958-09-20,Nothin' Shakin'
Jackie Wilson,1958-09-20,We Have Love
Sonny James,1958-09-20,You Got That Touch
Steve Lawrence,1958-09-20,Many A Time
The Ames Brothers,1958-09-27,No One But You (In My Heart)
The Ames Brothers,1958-09-27,Pussy Cat
Don Gibson,1958-09-27,Look Who's Blue
Ed Townsend,1958-09-27,When I Grow Too Old To Dream
Johnny Mathis,1958-09-27,Call Me
Don Gibson,1958-09-27,Give Myself A Party
The Kingston Trio,1958-09-27,Tom Dooley
The Playmates,1958-09-27,The Day I Died
Jack Scott,1958-09-27,With Your Love
Cyclones,1958-09-27,Bullwhip Rock
Lee Allen And His Band,1958-09-27,Tic Toc
Dicky Doo And The Don'ts,1958-09-27,Leave Me Alone (Let Me Cry)
Kalin Twins,1958-09-27,Forget Me Not
Betty Johnson,1958-10-04,Hoopa Hoola
Georgia Gibbs,1958-10-04,The Hula Hoop Song
Johnny Tillotson,1958-10-04,Well I'm Your Man
Johnny Cash,1958-10-04,All Over Again
Clyde McPhatter,1958-10-04,A Lover's Question
Donnie Owens,1958-10-04,Need You
The Platters,1958-10-04,It's Raining Outside
Bobby Darin,1958-10-04,Queen Of The Hop
Lord Rockingham's XI,1958-10-04,Fried Onions
The Five Blobs,1958-10-04,The Blob
Paul Anka,1958-10-04,Just Young
Ricky Nelson,1958-10-11,I Got A Feeling
Frankie Avalon,1958-10-11,What Little Girl
Perez Prado And His Orchestra,1958-10-11,Guaglione
Connie Francis,1958-10-11,Fallin'
Perry Como,1958-10-11,Love Makes The World Go 'round
Jerry Vale,1958-10-11,Go Chase A Moonbeam
Mitch Miller and his Orchestra and Chorus,1958-10-11,Bluebell
Jack Scott,1958-10-11,Geraldine
Nat King Cole,1958-10-11,Non Dimenticar (Don't Forget)
Frankie Avalon,1958-10-11,I'll Wait For You
The Royaltones,1958-10-18,Poor Boy
Tommy Edwards,1958-10-18,Please Love Me Forever
Jimmy Clanton,1958-10-18,A Letter To An Angel
Ricky Nelson,1958-10-18,Lonesome Town
Johnny Cash,1958-10-18,What Do I Care
Perez Prado And His Orchestra,1958-10-18,Paris
Billy Vaughn And His Orchestra,1958-10-18,Cimarron (Roll On)
Tab Hunter,1958-10-18,Jealous Heart
Pat Boone,1958-10-25,I'll Remember Tonight
The Diamonds,1958-10-25,Walking Along
Tommy Edwards,1958-10-25,Love Is All We Need
Frank Sinatra,1958-10-25,Mr. Success
Perry Como,1958-10-25,Mandolins In The Moonlight
Jodie Sands,1958-10-25,Someday (You'll Want Me To Want You)
Doris Day,1958-10-25,Tunnel Of Love
The Playmates,1958-11-01,Beep Beep
Elvis Presley,1958-11-01,I Got Stung
Peggy Lee,1958-11-01,Light Of Love
The Four Lads,1958-11-01,The Mocking Bird
Duane Eddy His Twangy Guitar And The Rebels,1958-11-01,Cannonball
Johnny Tillotson,1958-11-01,Dreamy Eyes
Jimmy Clanton,1958-11-01,A Part Of Me
Louis Prima And Keely Smith,1958-11-01,That Old Black Magic
Elvis Presley,1958-11-08,One Night
The Everly Brothers,1958-11-08,Problems
Jimmie Rodgers,1958-11-08,Bimbombey
Enoch Light & The Light Brigade,1958-11-08,I Want To Be Happy Cha Cha
Chuck Berry,1958-11-08,Sweet Little Rock And Roller
The Four Coins,1958-11-08,The World Outside
Bill Doggett,1958-11-08,Hold It
Johnny Otis,1958-11-08,Crazy Country Hop
Nappy Brown,1958-11-08,It Don't Hurt No More
Dale Hawkins,1958-11-08,"A House, A Car And A Wedding Ring"
The Gaylords,1958-11-08,Flamingo L'Amore
Johnny Nash,1958-11-08,Almost In Your Arms
"Bobby Pedrick, Jr.",1958-11-08,White Bucks And Saddle Shoes
Roy Hamilton,1958-11-15,Pledging My Love
Sam Cooke,1958-11-15,Love You Most Of All
The Nu Tornados,1958-11-15,Philadelphia U.S.A.
Fats Domino,1958-11-15,Whole Lotta Loving
The Platters,1958-11-15,Smoke Gets In Your Eyes
Chuck Berry,1958-11-15,Joe Joe Gunne
The Four Preps,1958-11-15,Cinderella
Fats Domino,1958-11-15,Coquette
Bob Kayli,1958-11-15,Everyone Was There
Bobby Freeman,1958-11-22,Need Your Love
Bernie Lowe Orchestra,1958-11-22,Sing Sing Sing
Bernie Lowe Orchestra,1958-11-22,Intermission Riff
The Everly Brothers,1958-11-22,Love Of My Life
Billy Grammer,1958-11-22,Gotta Travel On
Jackie Wilson,1958-11-22,Lonely Teardrops
The Crests,1958-11-22,16 Candles
Ritchie Valens,1958-11-22,Donna
Eddie Cochran,1958-11-22,C'mon Everybody
June Valli,1958-11-22,The Wedding
Peggy Lee,1958-11-22,Sweetheart
The Chipmunks With David Seville,1958-11-29,The Chipmunk Song
Cozy Cole,1958-11-29,Turvy II
Dee Clark,1958-11-29,Nobody But You
Paul Anka-Geo. Hamilton IV-Johnny Nash,1958-11-29,The Teen Commandments
Big Bopper,1958-11-29,Little Red Riding Hood
Poni-Tails,1958-11-29,Seven Minutes In Heaven
Connie Francis,1958-12-06,My Happiness
The Cadillacs,1958-12-06,Peek-A-Boo
Big Bopper,1958-12-06,Big Bopper's Wedding
Reg Owen & His Orchestra,1958-12-06,Manhattan Spiritual
Tony Dallara,1958-12-06,Come Prima
Neil Sedaka,1958-12-06,The Diary
Jerry Wallace,1958-12-06,Diamond Ring
Bobby Helms,1958-12-06,The Fool And The Angel
LaVern Baker,1958-12-06,I Cried A Tear
Lloyd Price,1958-12-06,Stagger Lee
Jim Reeves,1958-12-06,Billy Bayou
The Olympics,1958-12-06,(I Wanna) Dance With The Teacher
"Huey ""piano"" Smith With His Clowns",1958-12-06,Don't You Know Yockomo
Augie Rios,1958-12-13,¿Dònde Està Santa Claus? (Where Is Santa Claus?)
Johnny Cash And The Tennessee Two,1958-12-13,It's Just About Time
James Brown And The Famous Flames,1958-12-13,Try Me
Jack Scott,1958-12-13,Goodbye Baby
Chuck Berry,1958-12-13,Run Rudolph Run
Johnny Cash And The Tennessee Two,1958-12-13,I Just Thought You'd Like To Know
Chuck Berry,1958-12-13,Merry Christmas Baby
Eugene Church and The Fellows,1958-12-13,Pretty Girls Everywhere
Polly Bergen,1958-12-13,Come Prima (Koma Preema)
Paul Anka,1958-12-20,(All of a Sudden) My Heart Sings
Bill Parsons,1958-12-20,The All American Boy
Bobby Helms,1958-12-20,Jingle Bell Rock
Dion & The Belmonts,1958-12-20,Don't Pity Me
The Applejacks,1958-12-20,Rocka-Conga
Billy & Lillie,1958-12-20,Lucky Ladybug
Quaker City Boys,1958-12-20,Teasin'
Bing Crosby,1958-12-20,White Christmas
The Harry Simeone Chorale,1958-12-20,The Little Drummer Boy
Ray Charles and his Orchestra,1958-12-20,Rockhouse (Part 2)
The Accents,1958-12-20,"Wiggle, Wiggle"
Little Anthony And The Imperials,1958-12-20,So Much
The 5 Chanels,1958-12-20,The Reason
Wade Flemons and the Newcomers,1958-12-20,Here I Stand
Stan Freberg,1958-12-27,Green Chri$tma$
Andy Williams,1958-12-27,The Hawaiian Wedding Song (Ke Kali Nei Au)
Billy Vaughn And His Orchestra,1958-12-27,Blue Hawaii
Tommy Sands And The Raiders,1958-12-27,The Worryin' Kind
Ritchie Valens,1958-12-27,La Bamba
Eydie Gorme,1958-12-27,The Voice In My Heart
Bobby Day,1958-12-27,"The Bluebird, The Buzzard & The Oriole"
Jesse Belvin,1958-12-27,Funny
Jack Scott,1958-12-27,Save My Soul
Buddy Holly,1958-12-27,Heartbeat
The Ames Brothers,1958-12-27,Red River Rose
Johnny Mathis,1959-01-03,You Are Beautiful
Ray Anthony and His Orchestra,1959-01-03,Peter Gunn
Edmundo Ros and His Orchestra,1959-01-03,I Talk To The Trees
The Mills Brothers,1959-01-03,Yellow Bird
Johnny Mathis,1959-01-03,Let's Love
The Four Lads,1959-01-03,The Girl On Page 44
The McGuire Sisters,1959-01-03,May You Always
Jesse Lee Turner,1959-01-03,The Little Space Girl
Teresa Brewer,1959-01-03,The One Rose (That's Left In My Heart)
The DeCastro Sisters,1959-01-03,Teach Me Tonight Cha Cha
Buddy Knox,1959-01-03,That's Why I Cry
Annette With The Afterbeats,1959-01-03,Tall Paul
Della Reese,1959-01-03,Sermonette
The Wild-Cats,1959-01-03,Gazachstahagen
Cyril Stapleton And His Orchestra,1959-01-10,The Children's Marching Song (Nick Nack Taddy Whack)
"Mitch Miller and his ""Sing Along With Mitch"" Chorus",1959-01-10,The Children's Marching Song (Nick Nack Paddy Whack)
Fabian,1959-01-10,I'm A Man
Patti Page,1959-01-10,Trust In Me
Chris Barber's Jazz Band,1959-01-10,Petite Fleur (Little Flower)
Pat Boone,1959-01-10,Good Rockin' Tonight
The Four Knights,1959-01-10,O' Falling Star
Billy Williams,1959-01-10,Nola
Pat Boone,1959-01-10,With The Wind And The Rain In Your Hair
The Kingston Trio,1959-01-10,"Raspberries, Strawberries"
Betty Johnson,1959-01-10,You Can't Get To Heaven On Roller Skates
The Kalin Twins,1959-01-10,It's Only The Beginning
Johnny Cash,1959-01-17,Don't Take Your Guns To Town
Buddy Knox,1959-01-17,"Teasable, Pleasable You"
The Flamingos,1959-01-17,Lovers Never Say Goodbye
Duane Eddy His Twangy Guitar And The Rebels,1959-01-17,The Lonely One
Jerry Lee Lewis And His Pumping Piano,1959-01-17,I'll Sail My Ship Alone
Cookie And His Cupcakes,1959-01-17,Matilda
Peggy Lee,1959-01-17,My Man
Joni James,1959-01-17,There Must Be A Way
Don Gibson,1959-01-17,Who Cares
Linda Laurie,1959-01-24,Ambrose (Part Five)
Billy Graves,1959-01-24,The Shag (Is Totally Cool)
Cathy Carr,1959-01-24,First Anniversary
The Mark IV,1959-01-24,I Got A Wife
The Bell Notes,1959-01-24,I've Had It
The Diamonds,1959-01-24,She Say (Oom Dooby Doom)
Brook Benton,1959-01-24,It's Just A Matter Of Time
Peggy Lee,1959-01-24,"Alright, Okay, You Win"
Danny Zella and his Zell Rocks,1959-01-24,Wicked Ruby
Earl Grant,1959-01-24,Evening Rain
Bobby Darin,1959-01-24,Plain Jane
Link Wray And The Wraymen,1959-01-24,Raw-Hide
Conway Twitty,1959-01-24,The Story Of My Love
Thomas Wayne With the Delons,1959-01-24,Tragedy
The Coasters,1959-01-31,Charlie Brown
Tab Hunter,1959-01-31,(I'll Be With You In) Apple Blossom Time
Nat King Cole,1959-01-31,Give Me Your Love
Dicky Doo And The Don'ts,1959-01-31,Teardrops Will Fall
Marty Robbins,1959-01-31,The Hanging Tree
Nat King Cole,1959-01-31,Madrid
Frankie Ford,1959-02-07,Sea Cruise
Pat and the Satellites,1959-02-07,Jupiter-C
Ray Charles with the Raylettes,1959-02-07,(Night Time Is) The Right Time
Nicola Paone,1959-02-07,"Blah, Blah, Blah"
Charlie Blackwell,1959-02-07,Midnight Oil
Jaye P. Morgan,1959-02-07,Are You Lonesome Tonight
Frankie Avalon,1959-02-07,Venus
The Rivieras,1959-02-07,Moonlight Serenade
Chuck Berry,1959-02-14,Anthony Boy
David Seville And The Chipmunks,1959-02-14,Alvin's Harmonica
Tommy Edwards,1959-02-14,Please Mr. Sun
Fats Domino,1959-02-14,When The Saints Go Marching In
Fats Domino,1959-02-14,Telling Lies
Jaye P. Morgan,1959-02-14,Miss You
The Skyliners,1959-02-14,Since I Don't Have You
Dodie Stevens,1959-02-14,Pink Shoe Laces
The Teddy Bears,1959-02-14,I Don't Need You Anymore
Ricky Nelson,1959-02-21,Never Be Anyone Else But You
Perry Como,1959-02-21,Tomboy
Brook Benton,1959-02-21,Hurtin' Inside
Buddy Holly,1959-02-21,It Doesn't Matter Anymore
Jimmie Rodgers,1959-02-21,I'm Never Gonna Tell
The Applejacks,1959-02-21,Bunny Hop
Louis Prima And Keely Smith,1959-02-21,I've Got You Under My Skin
John Fred And The Playboys,1959-02-21,Shirley
Tennessee Ernie Ford,1959-02-21,Glad Rags
The Chordettes,1959-02-28,"No Other Arms, No Other Lips"
Lloyd Price,1959-02-28,Where Were You (On Our Wedding Day)?
Connie Francis,1959-02-28,If I Didn't Care
Ricky Nelson,1959-02-28,It's Late
Tommy Edwards,1959-02-28,The Morning Side Of The Mountain
Dean Reed,1959-02-28,The Search
June Valli,1959-02-28,The Answer To A Maiden's Prayer
The Fleetwoods,1959-03-07,Come Softly To Me
Sam Cooke,1959-03-07,Everybody Likes To Cha Cha Cha
The Virtues,1959-03-07,Guitar Boogie Shuffle
Graduates,1959-03-07,Ballad Of A Girl And Boy
Rod Bernard,1959-03-07,This Should Go On Forever
Neil Sedaka,1959-03-07,I Go Ape
Jimmy Barnes,1959-03-07,No Regrets
Joe Medlin,1959-03-07,I Kneel At Your Throne
Jimmie Rodgers,1959-03-07,Because You're Young
Hank Ballard And The Midnighters,1959-03-07,Teardrops On Your Letter
Marie & Rex,1959-03-07,I Can't Sit Down
Domenico Modugno,1959-03-07,"Piove (Ciao, Ciao Bambina)"
Eddy Arnold,1959-03-07,Chip Off The Old Block
The Teddy Bears,1959-03-07,Oh Why
"Dave ""Baby"" Cortez",1959-03-14,The Happy Organ
The Impalas,1959-03-14,Sorry (I Ran All The Way Home)
Johnny Nash,1959-03-14,As Time Goes By
Teresa Brewer,1959-03-14,Heavenly Lover
Marv Johnson,1959-03-14,Come To Me
Eddie Cochran,1959-03-14,Teenage Heaven
Dale Hawkins,1959-03-14,Yea - Yea (Class Cutter)
Elvis Presley With The Jordanaires,1959-03-21,(Now and Then There's) A Fool Such As I
The Kingston Trio,1959-03-21,The Tijuana Jail
The Intruders,1959-03-21,Fried Eggs
Little Anthony And The Imperials,1959-03-21,Wishful Thinking
The Rockin R's,1959-03-21,The Beat
The Quarter Notes,1959-03-21,Record Hop Blues
Travis & Bob,1959-03-21,Tell Him No
Pat Boone,1959-03-21,For A Penny
The Platters,1959-03-21,Enchanted
Diane Maxwell,1959-03-21,Jimmy Kiss And Run
The Crests,1959-03-21,Six Nights A Week
Jackie Wilson,1959-03-21,That's Why (I Love You So)
Johnny Mathis,1959-03-21,Someone
Sammy Turner and The Twisters,1959-03-21,Sweet Annie Laurie
Elvis Presley With The Jordanaires,1959-03-28,I Need Your Love Tonight
The Everly Brothers,1959-03-28,Take A Message To Mary
The Everly Brothers,1959-03-28,Poor Jenny
Jesse Belvin,1959-03-28,Guess Who
Fabian,1959-03-28,Turn Me Loose
Tommy Dee with Carol Kay and the Teen-Aires,1959-03-28,Three Stars
Hot-Toddys featuring Bill Pennell,1959-03-28,Rockin' Crickets
The Genies,1959-03-28,Who's That Knocking
Billy Vaughn And His Orchestra,1959-03-28,Hawaiian War Chant
Frank Sinatra,1959-03-28,French Foreign Legion
Scott Garrett,1959-03-28,A House Of Love
The Playmates,1959-03-28,Star Love
Buddy Holly,1959-03-28,Raining In My Heart
Chuck Berry,1959-03-28,Almost Grown
Paul Anka,1959-03-28,I Miss You So
Stan Robinson,1959-03-28,Boom-A-Dip-Dip
Duane Eddy His Twangy Guitar And The Rebels,1959-03-28,"""Yep!"""
Lee and Paul,1959-03-28,The Chick
The Fiestas,1959-04-04,So Fine
Clyde McPhatter,1959-04-04,Lovey Dovey
Franck Pourcel's French Fiddles,1959-04-04,Only You
The Big Sound Of Don Ralke,1959-04-04,77 Sunset Strip
Ritchie Valens,1959-04-04,That's My Little Suzie
Jack Scott,1959-04-04,I Never Felt Like This
Kathy Linden,1959-04-11,"Goodbye Jimmy, Goodbye"
Billy Grammer,1959-04-11,The Kissing Tree
Patti Page,1959-04-11,The Walls Have Ears
Joni James,1959-04-11,I Still Get A Thrill (Thinking Of You)
Billy Grammer,1959-04-11,Bonaparte's Retreat
Buddy Knox,1959-04-11,I Think I'm Gonna Kill Myself
Annette,1959-04-11,Jo-Jo The Dog-Faced Boy
Billy Storm,1959-04-11,I've Come Of Age
Gary Stites,1959-04-11,Lonely For You
The Exotic Sounds of Martin Denny,1959-04-11,Quiet Village
"Carl Dobkins, Jr.",1959-04-11,My Heart Is An Open Book
Chuck Berry,1959-04-11,Little Queenie
The Mary Kaye Trio,1959-04-11,You Can't Be True Dear
Wilbert Harrison,1959-04-11,Kansas City
Pat Boone,1959-04-18,The Wang Dang Taffy-Apple Tango (Mambo Cha Cha Cha)
Brook Benton,1959-04-18,Endlessly
Dion & The Belmonts,1959-04-18,A Teenager In Love
Edward Byrnes & Connie Stevens,1959-04-18,"Kookie, Kookie (Lend Me Your Comb)"
Billy Williams,1959-04-18,Goodnight Irene
Roy Hamilton,1959-04-18,I Need Your Lovin'
The Falcons,1959-04-18,You're So Fine
Bobby Darin,1959-04-18,Dream Lover
Jerry Wallace,1959-04-18,A Touch Of Pink
LaVern Baker,1959-04-18,I Waited Too Long
Ray Anthony and His Orchestra,1959-04-18,Walkin' To Mother's
Clyde McPhatter,1959-04-18,I Told Myself A Lie
Bobby Day,1959-04-18,That's All I Want
David Hill,1959-04-18,Two Brothers
Jimmy Beck & His Orchestra,1959-04-18,Pipe Dreams
Lloyd Price and His Orchestra,1959-04-25,Personality
Tab Hunter,1959-04-25,There's No Fool Like A Young Fool
Johnny Cash,1959-04-25,"Frankie's Man, Johnny"
The Johnny Otis Show,1959-04-25,Castin' My Spell
Tony Bellus,1959-04-25,Robbin' The Cradle
Johnny And The Hurricanes,1959-04-25,Crossfire
Jimmy Darren,1959-04-25,Gidget
Johnny Horton,1959-04-25,The Battle Of New Orleans
The Trumpeteers,1959-04-25,A String Of Trumpets
The McGuire Sisters,1959-04-25,Summer Dreams
Don Gibson,1959-05-02,Lonesome Old House
Dee Clark,1959-05-02,Just Keep It Up
The McGuire Sisters,1959-05-02,Peace
Nat King Cole,1959-05-02,You Made Me Love You
Chico Holiday,1959-05-02,Young Ideas
George Jones,1959-05-02,White Lightning
The Four Lads,1959-05-02,The Fountain Of Youth
The Bell Notes,1959-05-02,Old Spanish Town
Sarah Vaughan,1959-05-02,Separate Ways
Sonny James,1959-05-02,Talk Of The School
Fats Domino,1959-05-09,I'm Ready
Fats Domino,1959-05-09,Margie
Thomas Wayne With the Delons,1959-05-09,Eternally
The Mickey Mozart Quintet,1959-05-09,Little Dipper
Freddy Cannon,1959-05-09,Tallahassee Lassie
Little Richard,1959-05-09,Kansas City (Hey-Hey-Hey-Hey)
Doris Day,1959-05-09,Love Me In The Daytime
Connie Francis,1959-05-16,Lipstick On Your Collar
Brook Benton,1959-05-16,So Close
Tommy Edwards,1959-05-16,My Melancholy Baby
Connie Francis,1959-05-16,Frankie
The Wailers,1959-05-16,Tall Cool One
Peggy Lee,1959-05-16,"Hallelujah, I Love Him So"
Preston Epps,1959-05-16,Bongo Rock
The Fleetwoods,1959-05-16,Graduation's Here
David Seville,1959-05-16,Judy
Conway Twitty,1959-05-16,Hey Little Lucy! (Don'tcha Put No Lipstick On)
The Coasters,1959-05-16,Along Came Jones
Chubby Checker,1959-05-16,The Class
